"","dateTime8601","instrument","action","station","cast","lat","lon","comment","message.ID","cruise","year","month","day","time","dateTime","date","datetime_decimaldoy","speedlog_waterspeedfwd","speedlog_groundspeedfwd"
"25","2018-07-24 09:24:16+00:00","Bongo Net","deploy","L11","B25B",39.761433,-70.84275,"tow yo to 10 meters for 1 nm to calibrate flowmeter--tow 2",NA,"EN617",2018,7,24,"09:24:16",2018-07-24 09:24:16,"2018-07-24 09:24:00+00:00",204.3916667,2.13,2.13
"26","2018-07-24 09:53:01+00:00","Bongo Net","recover","L11","B25B",39.770633,-70.860533,"tow yo to 10 meters for 1 nm to calibrate flowmeter--tow 2",NA,"EN617",2018,7,24,"09:53:01",2018-07-24 09:53:01,"2018-07-24 09:53:00+00:00",204.4118056,2.26,2.26
"27","2018-07-25 01:43:00+00:00","Bongo Net","deploy","MVCO","B35",41.3223,-70.57515,NA,NA,"EN617",2018,7,25,"01:43:00",2018-07-25 01:43:00,"2018-07-25 01:43:00+00:00",205.0715278,1.92,1.92
"28","2019-02-02 07:43:19+00:00","Bongo Net","deploy","L2",NA,41.0296,-70.8801,"NETS HIT BOTTOM AND COLLECTED SAND; NO SAMPLE SAVED; FOLLOWING THIS WITH WINCH WIRE SPEED CALIBRATION",NA,"EN627",2019,2,2,"07:43:19",2019-02-02 07:43:19,"2019-02-02 07:43:00+00:00",32.3215278,1.37,1.37
"29","2019-02-02 08:31:43+00:00","Bongo Net","deploy","L2","B7",41.0226,-70.8842,"SECOND ATTEMPT FOR B07",NA,"EN627",2019,2,2,"08:31:43",2019-02-02 08:31:43,"2019-02-02 08:31:00+00:00",32.3548611,1.77,1.77
"30","2019-02-02 10:43:38+00:00","Bongo Net","deploy","L3","B8",40.8625,-70.8819,NA,NA,"EN627",2019,2,2,"10:43:38",2019-02-02 10:43:38,"2019-02-02 10:43:00+00:00",32.4465278,2.11,2.11
"31","2019-02-02 10:49:48+00:00","Bongo Net","recover","L3","B8",40.8636,-70.8852,NA,NA,"EN627",2019,2,2,"10:49:48",2019-02-02 10:49:48,"2019-02-02 10:49:00+00:00",32.4506944,1.85,1.85
"32","2019-02-02 20:35:34+00:00","Bongo Net","deploy","L4","B12",40.694892,-70.87184,NA,NA,"EN627",2019,2,2,"20:35:34",2019-02-02 20:35:34,"2019-02-02 20:35:00+00:00",32.8576389,2.19,2.19
"33","2019-02-02 20:45:19+00:00","Bongo Net","recover","L4","B12",40.690232,-70.872432,NA,NA,"EN627",2019,2,2,"20:45:19",2019-02-02 20:45:19,"2019-02-02 20:45:00+00:00",32.8645833,1.18,1.18
"34","2019-02-03 11:33:34+00:00","Bongo Net","deploy","L6","B16",40.364375,-70.89299,NA,NA,"EN627",2019,2,3,"11:33:34",2019-02-03 11:33:34,"2019-02-03 11:33:00+00:00",33.48125,2.19,2.19
"35","2019-02-03 11:45:19+00:00","Bongo Net","recover","L6","B16",40.36728,-70.899867,NA,NA,"EN627",2019,2,3,"11:45:19",2019-02-03 11:45:19,"2019-02-03 11:45:00+00:00",33.4895833,1.77,1.77
"36","2019-02-03 14:31:34+00:00","Bongo Net","deploy","L7","B17",40.227492,-70.889165,"added 2 minutes to account for fixing orientation of 20 um net; these during two minutes bongo was sampling surface water",NA,"EN627",2019,2,3,"14:31:34",2019-02-03 14:31:34,"2019-02-03 14:31:00+00:00",33.6048611,2.09,2.09
"37","2019-02-03 14:50:12+00:00","Bongo Net","recover","L7","B17",40.223787,-70.898028,NA,NA,"EN627",2019,2,3,"14:50:12",2019-02-03 14:50:12,"2019-02-03 14:50:00+00:00",33.6180556,1.77,1.77
"38","2019-02-03 18:56:34+00:00","Bongo Net","deploy","L8","B19",40.120472,-70.766567,"Updated time to start of re-do cast--hit bottom on first cast",NA,"EN627",2019,2,3,"18:56:34",2019-02-03 18:56:34,"2019-02-03 18:56:00+00:00",33.7888889,1.9,1.9
"39","2019-02-03 19:12:04+00:00","Bongo Net","recover","L8","B19",40.115012,-70.76863,NA,NA,"EN627",2019,2,3,"19:12:04",2019-02-03 19:12:04,"2019-02-03 19:12:00+00:00",33.8,1.5,1.5
"40","2019-02-04 02:28:04+00:00","Bongo Net","deploy","L9",NA,40.100357,-70.876457,"tow stopped; meter block malfunctioning NO SAMPLE SAVED",NA,"EN627",2019,2,4,"02:28:04",2019-02-04 02:28:04,"2019-02-04 02:28:00+00:00",34.1027778,1.97,1.97
"41","2019-02-04 02:31:04+00:00","Bongo Net","recover","L9",NA,40.101997,-70.876555,"No sample",NA,"EN627",2019,2,4,"02:31:04",2019-02-04 02:31:04,"2019-02-04 02:31:00+00:00",34.1048611,1.99,1.99
"42","2019-02-04 02:48:49+00:00","Bongo Net","deploy","L9","B22",40.104692,-70.878587,NA,NA,"EN627",2019,2,4,"02:48:49",2019-02-04 02:48:49,"2019-02-04 02:48:00+00:00",34.1166667,1.79,1.79
"43","2019-02-04 03:07:04+00:00","Bongo Net","recover","L9","B22",40.112435,-70.87423,NA,NA,"EN627",2019,2,4,"03:07:04",2019-02-04 03:07:04,"2019-02-04 03:07:00+00:00",34.1298611,2.05,2.05
"44","2019-02-04 07:39:04+00:00","Bongo Net","deploy","L10","B24",39.938198,-70.884807,NA,NA,"EN627",2019,2,4,"07:39:04",2019-02-04 07:39:04,"2019-02-04 07:39:00+00:00",34.31875,2.04,2.04
"45","2019-02-04 08:05:04+00:00","Bongo Net","recover","L10","B24",39.944832,-70.876267,NA,NA,"EN627",2019,2,4,"08:05:04",2019-02-04 08:05:04,"2019-02-04 08:05:00+00:00",34.3368056,1.54,1.54
"46","2019-02-04 10:36:19+00:00","Bongo Net","deploy","L11","B25",39.77296,-70.883958,"extra 3 minutes at surface to untwist 20 um net upon deployment",NA,"EN627",2019,2,4,"10:36:19",2019-02-04 10:36:19,"2019-02-04 10:36:00+00:00",34.4416667,1.88,1.88
"47","2019-02-04 11:13:19+00:00","Bongo Net","recover","L11","B25",39.791038,-70.883995,NA,NA,"EN627",2019,2,4,"11:13:19",2019-02-04 11:13:19,"2019-02-04 11:13:00+00:00",34.4673611,1.57,1.57
"48","2019-02-04 19:33:19+00:00","Bongo Net","other","L11",NA,39.77275,-70.88184,"Flowmeter Calibration 1 Start",NA,"EN627",2019,2,4,"19:33:19",2019-02-04 19:46:00,"2019-02-04 19:46:00+00:00",34.8236111,1.71,1.71
"49","2019-02-04 20:14:19+00:00","Bongo Net","other","L11",NA,39.765645,-70.860492,"Flowmeter Calibration 1 End",NA,"EN627",2019,2,4,"20:14:19",2019-02-04 20:14:19,"2019-02-04 20:14:00+00:00",34.8430556,1.56,1.56
"50","2019-02-04 20:25:49+00:00","Bongo Net","other","L11",NA,39.763642,-70.859907,"Flowmeter Calibration 2 Start",NA,"EN627",2019,2,4,"20:25:49",2019-02-04 20:25:49,"2019-02-04 20:25:00+00:00",34.8506944,1.96,1.96
"51","2019-02-04 20:36:19+00:00","Bongo Net","other","L11",NA,39.76604,-70.866005,"Flowmeter Calibration 2 End",NA,"EN627",2019,2,4,"20:36:19",2019-02-04 20:36:19,"2019-02-04 20:36:00+00:00",34.8583333,2.09,2.09
"52","2019-02-05 03:38:19+00:00","Bongo Net","deploy","u11c","B29",39.78149,-70.527048,NA,NA,"EN627",2019,2,5,"03:38:19",2019-02-05 03:38:19,"2019-02-05 03:38:00+00:00",35.1513889,2.22,2.22
"53","2019-02-05 04:09:19+00:00","Bongo Net","recover","u11c","B29",39.794687,-70.524907,NA,NA,"EN627",2019,2,5,"04:09:19",2019-02-05 04:09:19,"2019-02-05 04:09:00+00:00",35.1729167,1.53,1.53
"54","2019-02-05 19:24:04+00:00","Bongo Net","deploy","L5","B40",40.512102,-70.886,NA,NA,"EN627",2019,2,5,"19:24:04",2019-02-05 19:24:04,"2019-02-05 19:24:00+00:00",35.8083333,2.78,2.78
"55","2019-02-05 19:33:34+00:00","Bongo Net","recover","L5","B40",40.507608,-70.881883,NA,NA,"EN627",2019,2,5,"19:33:34",2019-02-05 19:33:34,"2019-02-05 19:33:00+00:00",35.8145833,2.04,2.04
"56","2019-02-06 02:03:04+00:00","Bongo Net","deploy","L1","B44",41.193605,-70.881818,NA,NA,"EN627",2019,2,6,"02:03:04",2019-02-06 02:03:04,"2019-02-06 02:03:00+00:00",36.0854167,1.99,1.99
"57","2019-02-06 02:08:00+00:00","Bongo Net","recover","L1","B44",41.191173,-70.882293,NA,NA,"EN627",2019,2,6,"02:08:00",2019-02-06 02:08:00,"2019-02-06 02:08:00+00:00",36.0888889,1.77,1.77
"58","2019-02-06 04:40:14+00:00","Bongo Net","deploy","MVCO","B45",41.318197,-70.574758,NA,NA,"EN627",2019,2,6,"04:40:14",2019-02-06 04:40:14,"2019-02-06 04:40:00+00:00",36.1944444,1.55,1.55
"59","2019-02-06 04:44:04+00:00","Bongo Net","recover","MVCO","B45",41.317912,-70.577323,NA,NA,"EN627",2019,2,6,"04:44:04",2019-02-06 04:44:04,"2019-02-06 04:44:00+00:00",36.1972222,1.97,1.97
"60","2019-08-20 20:19:00+00:00","Bongo Net","deploy","L1","B1",41.1934,-70.8845,NA,66,"EN644",2019,8,20,"20:19:00",2019-08-20 20:19:00,"2019-08-20 20:19:00+00:00",231.8465278,1.67,1.67
"61","2019-08-20 20:23:02+00:00","Bongo Net","recover","L1","B1",41.1922,-70.8822,NA,67,"EN644",2019,8,20,"20:23:02",2019-08-20 20:23:02,"2019-08-20 20:23:00+00:00",231.8493056,1.12,1.12
"62","2019-08-21 00:01:02+00:00","Bongo Net","deploy","L2","B2",41.0276,-70.8794,NA,68,"EN644",2019,8,21,"00:01:02",2019-08-21 00:01:02,"2019-08-21 00:01:00+00:00",232.0006944,1.31,1.31
