cruise,station,cast,max_depth,corrected_max_depth,offset_m,comment
EN668,L1,B1,16.392,16.392,0,CTD only no tdr
EN668,L4,B5,60.673,60.673,0,CTD only no tdr
EN668,L5,B7,70.677,70.677,0,CTD only no tdr
EN668,L2,B2,40.565,40.565,0,CTD only no tdr
EN668,L10,B8,196.617,196.617,0,CTD only no tdr
EN668,L11,B11,202.989,202.989,0,CTD only no tdr
EN668,L9,B14,140.488,140.488,0,CTD only no tdr
EN668,L8,B15,128.508,128.508,0,CTD only no tdr
EN668,L7,B17,123.697,123.697,0,CTD only no tdr
EN668,L6,B18,81.238,81.238,0,CTD only no tdr
EN668,MVCO,B25,16.093,16.093,0,CTD only no tdr
EN668,L3,B21,51,51,0,CTD only no tdr
