cruise,station,cast,tdr_max_depth_m,px_max_depth_m,ctd_bongo_max_depth_m,offset_m
EN649,L6,B19,96.46,NA,NA,0
EN649,L7,B7,108.57,NA,NA,0
EN649,L8,B8,110.26,NA,NA,0
EN649,L9,B11,106.48,NA,NA,0
EN649,MVCO,B2,17.36,NA,NA,0
EN655,L1,B1,24.22,NA,NA,0
EN655,L10,B12,201.68,NA,NA,0
EN655,L2,B2,49.39,NA,NA,-5
EN655,L3,B3,52.24,NA,NA,-5
EN655,L4,B7,57.68,NA,NA,-5
EN655,L5,B10,78.37,NA,NA,-5
EN655,L6,B16,60.09,NA,NA,0
EN655,L7,B11,128.71,NA,NA,0
EN655,L9,B15,146.77,NA,NA,0
EN657,L1,B1,16.23,NA,NA,0
EN657,L10,B9,197.83,NA,NA,0
EN657,L11,B12,180.69,NA,NA,0
EN657,L2,B5,31.08,NA,NA,0
EN657,L3,B2,43.32,NA,NA,0
EN657,L4,B6,55.48,NA,NA,0
EN657,L5,B7,66.47,NA,NA,0
EN657,L6,B17,73.56,NA,NA,0
EN657,L7,B19,112.09,NA,NA,0
EN657,L8,B15,106.89,NA,NA,0
EN657,L9,B14,123.3,NA,NA,0
EN657,MVCO,B20,12.72,NA,NA,0
EN687,L1,B1,17.13,NA,NA,0
EN687,L10,B7,159.84,NA,NA,0
EN687,L11,B10,269.9,NA,NA,0
EN687,L2,B2,40.31,NA,NA,0
EN687,L3,B22,39.41,NA,NA,0
EN687,L4,B5,49.75,NA,NA,0
EN687,L5,B6,61.23,NA,NA,0
EN687,L6,B18,77.42,NA,NA,0
EN687,L7,B21,123.41,NA,NA,0
EN687,L8,B16,133.91,NA,NA,0
EN687,L9,B13,132.74,NA,NA,0
EN687,MVCO,B26,11.61,NA,NA,0
EN706,L1,B1,29.66,NA,NA,-10.5
EN706,L10,B10,218.52,NA,205.287,-10.5
EN706,L11,B9,214.05,NA,NA,-10.5
EN706,L2,B2,50.28,NA,NA,-10.5
EN706,L3,B20,62.83,NA,50.048,-10.5
EN706,L4,B5,75.56,NA,NA,-19
EN706,L5,B6,94.31,NA,71.491,-19
EN706,L6,B19,100.93,NA,NA,-10.5
EN706,L7,B14,133.63,NA,120.555,-10.5
EN706,L8,B15,145.37,NA,132.572,-10.5
EN706,L9,B13,217.66,NA,NA,-10.5
EN706,MVCO,B24,29.91,NA,NA,-10.5
EN712,L1,B1,15.8,NA,NA,1.7
EN712,L10,B7,184.63,NA,NA,1.7
EN712,L11,B10,197.1,NA,NA,1.7
EN712,L2,B17,38.93,NA,NA,1.7
EN712,L4,B15,52.72,NA,NA,1.7
EN712,L5,B2,71.42,NA,NA,1.7
EN712,L6,B5,92.2,NA,NA,1.7
EN712,L7,B6,100.32,NA,NA,1.7
EN712,L9,B11,207.38,NA,NA,1.7
EN712,MVCO,B20,8.96,NA,NA,1.7
EN715,L1,B1,11.77,NA,NA,2
EN715,L10,B7,221.54,NA,NA,2
EN715,L11,B10,219.8,NA,NA,2
EN715,L2,B2,35.34,NA,NA,2
EN715,L3,B15,43.43,NA,NA,2
EN715,L4,B5,59.55,NA,NA,2
EN715,L5,B6,72.33,NA,NA,2
EN715,L6,B13,81.87,NA,NA,2
EN715,L7,B19,118.38,NA,NA,2
EN715,L8,B14,137.13,NA,NA,2
EN715,L9,B18,169.8,NA,NA,2
EN715,MVCO,B23,6.64,NA,NA,2
EN720,L1,B2,9.91,NA,NA,2.9
EN720,L10,B8,166.8,NA,NA,2.9
EN720,L11,B11,162.5,NA,NA,2.9
EN720,L2,B3,29.13,NA,NA,2.9
EN720,L3,B20,50.81,NA,NA,2.9
EN720,L4,B6,44.4,NA,NA,2.9
EN720,L5,B7,54.15,NA,NA,2.9
EN720,L6,B14,50.29,NA,NA,2.9
EN720,L7,B16,89.26,NA,NA,2.9
EN720,L8,B15,113.37,NA,NA,2.9
EN720,L9,B19,219.56,NA,NA,2.9
EN720,MVCO,B24,8.34,NA,NA,2.9
EN727,L1,B1,9.4,NA,NA,4
EN727,L10,B9,199.85,204.15,NA,4
EN727,L11,B6,203.16,207.86,NA,4
EN727,L2,B2,38.13,NA,NA,4
EN727,L3,B20,44.96,49.83,NA,4
EN727,L4,B5,56.69,61.28,NA,4
EN727,L5,B19,65.75,69.87,NA,4
EN727,L6,B17,85.27,89.16,NA,4
EN727,L7,B14,117.36,122.72,NA,4
EN727,L8,B10,129.85,135.5,NA,4
EN727,L9,B11,200.83,NA,NA,4
EN727,MVCO,B21,8.95,NA,NA,4
HRS2303,L1,B2,18.59,NA,NA,-5
HRS2303,L10,B7,146.6,NA,NA,-5
HRS2303,L11,B8,115.28,NA,NA,-5
HRS2303,L2,B12,NA,NA,NA,-5
HRS2303,L3,B11,41.77,NA,NA,-5
HRS2303,L4,B10,53.74,NA,NA,-5
HRS2303,L5,B3,73.69,NA,NA,-5
HRS2303,L6,B9,59.13,NA,NA,-5
HRS2303,L7,B4,75.81,NA,NA,-5
HRS2303,L8,B5,113.75,NA,NA,-5
HRS2303,L9,B6,182.1,NA,NA,-5
HRS2303,MVCO,B1,12.86,NA,NA,-5
