cruise,station,cast,sample_name,dateUTC_yymmdd,time_start_UTC,time_end_UTC,lat_start,lon_start,depth_bottom,depth_target,avg_angle,depth_TDR,max_wire_out_m,wire_rate_out_m_min,wire_rate_in_m_min,ship_speed_kts,flowmeter_sn_335,flow_start_335,flow_end_335,tot_flow_counts_335,vol_filtered_m3_335,NOAA_335,DNA_335,flowmeter_sn_150,flow_start_150,flow_end_150,tot_flow_counts_150,vol_filtered_m3_150,morph_ID_150,DNA_150,size_fract_150,taxa_pick_150,EtOHchanged,comments
HRS2601,L1,19,HRS2601_L1_B19,260427,03:20,03:26,41.196548,-70.883783,21,16,N/A,5,21,20,6,2,29914,944670,956682,12012,94.33679002,Y,Y,29913,957836,969285,11449,89.91524383,Y,Y,Y,Y,Y,not ring net
HRS2601,L2,15,HRS2601_L2_B15,260426,21:48,21:54,41.042935,-70.883237,40,35,N/A,29,46,30,12,2,29914,935383,944672,9289,72.95158529,Y,Y,29913,949875,957843,7968,62.57705152,Y,Y,Y,Y,Y,"Pxsensor used; 335um: 13 jellyfish in sample, took photo and thrown back into the ocean; 150um: 3 jellyfishin sample, took photo and thrown back into ocean; vertical ring net tow"
HRS2601,L3,11,HRS2601_L3_B11,260426,02:50,02:57,40.86663,-70.891937,55,50,N/A,42,65,30,17,2,29914,930063,935397,5334,41.89081235,Y,Y,29913,945231,949848,4617,36.25982014,Y,Y,Y,Y,Y,Px sensor used; no ring net; 335um: total = 3L and subsample = 500mL; 150um: total = 7L and subsample = 500mL
HRS2601,L4,1,HRS2601_L4_B1,260423,15:08,15:21,40.69263,-70.879345,61,56,N/A,,100,30,20,2,29914,671491,704708,33217,260.871225,Y,Y,29913,670060,691359,21299,167.2726682,Y,Y,Y,Y,Y,Pxsensor used; flowmeter for 150 um net is off; no ring net
HRS2601,L5,2,HRS2601_L5_B2,260423,17:08,17:21,40.573188,-70.885053,67,62,N/A,60,95,30,20,1.5,29914,704708,721941,17233,135.3401517,Y,Y,29913,691360,708197,16837,132.2301477,Y,Y,Y,Y,Y,Pxsensor used; no ring net
HRS2601,L6,8,HRS2601_L6_B8,260425,05:36,05:51,40.346125,-70.888908,97,92,N/A,,135,30,20,2,29914,856852,877887,21035,165.1993322,Y,Y,29913,860187,886680,26493,208.0639842,Y,Y,Y,Y,Y,Pxsensor used; Bongo/Ringnet/CTD is ~1 mile south of original L6 station due to fishing gear; vertical ring net tow
HRS2601,L7,10,HRS2601_L7_B10,260425,12:21,12:35,40.255968,-70.891995,122,117,N/A,,140,30,20,2,29914,912710,930047,17337,136.1569205,Y,Y,29913,925624,945250,19626,154.1336864,Y,Y,Y,Y,Y,Pxsensor used; no ring net
HRS2601,L8,9,HRS2601_L8_B9,260425,07:53,08:14,40.154012,-70.888207,138,133,N/A,,190,30,20,1.5,29914,877889,912709,34820,273.4604586,Y,Y,29913,886673,925622,38949,305.8877485,Y,Y,Y,Y,Y,Pxsensor used; no ring net
HRS2601,L9,7,HRS2601_L9_B7,260424,22:38,23:01,40.044395,-70.891848,210,205,N/A,190,242,30,20,2,29914,823159,856845,33686,264.5545378,Y,Y,29913,822343,860184,37841,297.1860199,Y,Y,Y,Y,Y,Pxsensor used; vertical ring net tow
HRS2601,L10,3,HRS2601_L10_B3,260424,06:24,06:50,39.938665,-70.885208,462,200,N/A,192,270,30,20,2,29914,721950,764581,42631,334.8045034,Y,Y,29913,708202,757518,49316,387.3054559,Y,Y,Y,Y,Y,Pxsensor used; no ring net
HRS2601,L11,5,HRS2601_L11_B5,260424,14:13,14:45,39.76816,-70.891165,1539,200,N/A,,310,30,20,2,29914,764598,823155,58557,459.880071,Y,Y,29913,757520,822356,64836,509.192484,Y,Y,Y,Y,Y,Pxsensor used; no CTD with bongo cast; no ring net
HRS2601,MVCO,20,HRS2601_MVCO_B20,260427,06:00,06:11,41.31202,-70.571967,18,13,N/A,6.5,16,14,4,2,29914,956697,968005,11308,88.8078939,Y,Y,29913,969273,980006,10733,84.29210517,Y,Y,Y,Y,Y,"150um had a large jellyfish with larval fish entangled in tentacles, revmoved fish as possible (couldn't get all), and then disposed of jellyfish ; no ring net; no Pxsenor used"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
